UNIQUE_CHPL_ID__C,VENDOR__C,PRODUCT__C,VERSION__C,TESTING_ATL__C,ACB_CERTIFICATION_ID__C,QMS Standard,QMS Standard Applicable Criteria,QMS Modification Description,Accessibility Certified,Accessibility Standard,CRITERIA_170_315_G_4__C,Functionality Tested,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,Conformance Method version,CRITERIA_170_315_G_5__C,Regulatory Text Citation,Functionality Tested,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,Conformance Method version,CRITERIA_170_315_E_1_Cures__C,Standard,Regulatory Text Citation,Privacy and Security Framework,Test tool name,Test tool version,Conformance Method,Conformance Method version,Test Data,Test data version,Test data alteration,Test data alteration description,CRITERIA_170_315_C_3__C,Regulatory Text Citation,Privacy and Security Framework,Standard Tested Against,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Test tool name,Test tool version,Conformance Method,Conformance Method version,Test Data,Test data version,Test data alteration,Test data alteration description,CRITERIA_170_315_C_3_Cures__C,Standard,Regulatory Text Citation,Privacy and Security Framework,Standard Tested Against,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Test tool name,Test tool version,Conformance Method,Conformance Method version,Test Data,Test data version,Test data alteration,Test data alteration description,CRITERIA_170_315_F_7__C,Regulatory Text Citation,Standard,Privacy and Security Framework,Test tool name,Test tool version,Conformance Method,Conformance Method version,Test Data,Test data version,Test data alteration,Test data alteration description,CQM Number,CQM Version,CQM Criteria,CRITERIA_170_315_D_1__C,GAP,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_2__C,Standard Tested Against,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_2_Cures__C,Standard,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_3__C,Standard Tested Against,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_3_Cures__C,Standard,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_4__C,GAP,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method version,CRITERIA_170_315_D_5__C,GAP,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_7__C,GAP,Standard,Functionality Tested,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_8__C,Standard,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_9__C,Standard,Functionality Tested,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_12__C,Standard,Attestation Answer,Documentation URL,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_D_13__C,Attestation Answer,Documentation URL,Use Cases,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Conformance Method,CRITERIA_170_315_G_6_CURES__C,Standard,Functionality Tested,Additional Software,CP Source,CP Source Grouping,Non CP Source,Non CP Source Version,Non CP Source Grouping,Test tool name,Test tool version,Conformance Method,Conformance Method version,Test Data,Test data version,Test data alteration,Test data alteration description
15.02.04.2701.SVP1.12.00.1.220920,Compulink Healthcare Solutions,SVAP On Criteria that cannot have it,3.5,UL LLC,test,ISO 9001,Compulink Healthcare Solutions,test1,1,170.204(a)(1),1,(g)(4)(i)(B),1,,,Microsoft Windows,2020,a,ONC Test Procedure,1,1,170.205(s)(1),(g)(5)(i),0,,,,,,ONC Test Procedure,6,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,170.205(k)(3),170.205(h)(3); 170.205(k)(3),Approach 2,,0,,,,,,Cypress,v3,ONC Test Procedure,1,NCQA eCQM Test Method,1.2,1,Test data was altered,,,,,,,,,,,,,72,v3,c3,1,1,0,,,,,,Attestation,,,,,,,,,,1,170.210(e)(1),1,,,Adobe Reader,v3,a,Attestation,,,,,,,,,,1,170.210(e)(1),0,,,,,,Attestation,,,,,,,,,,1,1,1,,,Microsoft Word,v16.5,a,Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,170.210(a)(2),1,http://www.test.com,1,,,Microsoft Windows,XP,A,Attestation,1,1,http://www.test.com,http://www.test.com,1,,,pdf,a,b,Attestation,,,,,,,,,,,,,,,,,
15.02.04.2701.SVP1.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(k)(2) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(e)(2),,,,,,,,,,,,,,,,,,170.210(e)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02.04.2701.SVP1.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(k)(1) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(e)(3),,,,,,,,,,,,,,,,,,170.210(e)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02.04.2701.SVP1.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(h)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(h),,,,,,,,,,,,,,,,,,170.210(h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02.04.2701.SVP1.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(h)(2) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02.04.2701.SVP2.12.00.1.220920,Compulink Healthcare Solutions,SVAP Criteria Mismatch,3.5,UL LLC,test,ISO 9001,Compulink Healthcare Solutions,test1,1,170.204(a)(1),1,(g)(4)(i)(B),1,,,Microsoft Windows,2020,a,ONC Test Procedure,1,1,,(g)(5)(i),0,,,,,,ONC Test Procedure,6,1,170.213(a),170.205(s)(1),Approach 1,Edge Testing Tool,1.0.4,ONC Test Procedure,1,ONC Test Method,1.3,0,,0,,,,,,,,,,,,,,,,,,1,170.205(k)(3),170.204(a)(1),Approach 1,,,,,,,,Cypress,v3,ONC Test Procedure,1,NCQA eCQM Test Method,1.2,1,Test data was altered,1,170.204(a)(2),170.205(s)(1),Approach 2,NHCS IG Release 1 Validator,2,ONC Test Procedure,2,ONC Test Method,2,1,none,72,v3,c3,1,1,0,,,,,,Attestation,,,,,,,,,,1,170.210(e)(1),1,,,Adobe Reader,v3,a,Attestation,,,,,,,,,,1,170.210(e)(1),0,,,,,,Attestation,,,,,,,,,,1,1,1,,,Microsoft Word,v16.5,a,Attestation,1,0,170.210(a)(2),(d)(7)(i),0,,,,,,Attestation,1,170.210(c)(2),1,,,InterSystems Cache,v2,a,Attestation,1,170.210(c)(2),(d)(9)(i),1,,,InterSystems Cache ,v2,a,Attestation,1,170.210(a)(2),1,http://www.test.com,1,,,Microsoft Windows,XP,A,Attestation,1,1,http://www.test.com,http://www.test.com,1,,,pdf,a,b,Attestation,1,170.213(a),,0,,,,,,Edge Testing Tool,1.0.4,ONC Test Procedure,1,ONC Test Method,13.1,0,
15.02.04.2701.SVP2.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(a)(5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(k)(2) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(e)(2),,,,,,,,,,,,,,,,,,170.210(e)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(a)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(a)(5),,,,,,,,,,,,,,,
15.02.04.2701.SVP2.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(a)(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(k)(1) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(e)(3),,,,,,,,,,,,,,,,,,170.210(e)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(a)(4),,,,,,,,,,,,,,,
15.02.04.2701.SVP2.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.204(a)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(h)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(h),,,,,,,,,,,,,,,,,,170.210(h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02.04.2701.SVP2.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.204(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(h)(2) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02.04.2701.SVP3.12.00.1.220920,Compulink Healthcare Solutions,Valid SVAPs,3.5,UL LLC,test,ISO 9001,Compulink Healthcare Solutions,test1,1,170.204(a)(1),1,(g)(4)(i)(B),1,,,Microsoft Windows,2020,a,ONC Test Procedure,1,1,,(g)(5)(i),0,,,,,,ONC Test Procedure,6,1,170.213(a),170.204(a)(1),Approach 2,Edge Testing Tool,1.0.4,ONC Test Procedure,1,ONC Test Method,1.3,0,,,,,,,,,,,,,,,,,,,,1,170.205(k)(3),170.205(h)(3) 2023,Approach 1,,0,,,,,,Cypress,v3,ONC Test Procedure,1,NCQA eCQM Test Method,1.2,1,Test data was altered,1,170.205(s)(1),170.205(s)(1),Approach 2,NHCS IG Release 1 Validator,2,ONC Test Procedure,2,ONC Test Method,2,1,none,72,v3,c3,1,1,0,,,,,,Attestation,,,,,,,,,,1,170.210(e)(1),1,,,Adobe Reader,v3,a,Attestation,,,,,,,,,,1,170.210(e)(1),0,,,,,,Attestation,,,,,,,,,,1,1,1,,,Microsoft Word,v16.5,a,Attestation,1,0,170.210(a)(2),(d)(7)(i),0,,,,,,Attestation,1,170.210(c)(2),1,,,InterSystems Cache,v2,a,Attestation,1,170.210(c)(2),(d)(9)(i),1,,,InterSystems Cache ,v2,a,Attestation,1,170.210(a)(2),1,http://www.test.com,1,,,Microsoft Windows,XP,A,Attestation,1,1,http://www.test.com,http://www.test.com,1,,,pdf,a,b,Attestation,1,170.213(a),,0,,,,,,Edge Testing Tool,1.0.4,ONC Test Procedure,1,ONC Test Method,13.1,0,
15.02.04.2701.SVP3.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(a)(5),170.204(a)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(k)(2) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(e)(2),,,,,,,,,,,,,,,,,,170.210(e)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(a)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(a)(5),,,,,,,,,,,,,,,
15.02.04.2701.SVP3.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(a)(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(k)(1) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(e)(3),,,,,,,,,,,,,,,,,,170.210(e)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(a)(4),,,,,,,,,,,,,,,
15.02.04.2701.SVP3.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.204(a)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(h)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.210(h),,,,,,,,,,,,,,,,,,170.210(h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02.04.2701.SVP3.12.00.1.220920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.204(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.205(h)(2) for (c)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
